Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast/90,npG/90,npG+A/90,xA/90,npxG/90,npxG+xA/90,Shots/90,SoTs/90,SoT%,Gls/Shot,Gls/SoT,AvgShotDist,FKSht/90,npxG/Shot,np:G-xG,PassCmp/90,PassAtt/90,PassCmp%,TotDistPass/90,PrgDistPass/90,ShortCmp/90,ShortAtt/90,ShortCmp%,MedCmp/90,MedAtt/90,MedCmp%,LongCmp/90,LongAtt/90,LongCmp%,KeyPass/90,PassIntoThird/90,PassIntoBox/90,CrossIntoBox/90,ProgPass/90,LivePassAtt/90,DeadPassAtt/90,FKPassAtt/90,TBCmp/90,PassUnderPress/90,Switches/90,Crosses/90,GroundPass/90,LowPass/90,HighPass/90,LeftPass/90,RightPass/90,HeadPass/90,ThrowPass/90,OtherPartPass/90,OffsidePass/90,OutOBPass/90,PassesInt/90,PassesBlk/90,SCA/90,PassLiveSCA/90,PassDeadSCA/90,DribSCA/90,ShSCA/90,FoulSCA/90,DefSCA/90,GCA/90,PassLiveGCA/90,PassDeadGCA/90,DribGCA/90,ShGCA/90,FoulGCA/90,DefGCA/90,TklAtt/90,TklW/90,Def 3rdTkl/90,Mid 3rdTkl/90,Att 3rdTkl/90,TklvDribW/90,TklvDribAtt/90,Tkl%vDrib,DribPast/90,PressAtt/90,SuccPress/90,PressSucc%,Def 3rdPress/90,Mid 3rdPress/90,Att 3rdPress/90,Blocks/90,ShotBlocks/90,PassBlk/90,Interceptions/90,Clearances/90,ErrToShot/90,Touches/90,Def PenTchs/90,Def 3rdTchs/90,Mid 3rdTchs/90,Att 3rdTchs/90,Att PenTchs/90,%TchsDefPen,%TchsDefThrd,%TchsMidThrd,%TchsAttThrd,%TchsAttPen,LiveTchs/90,SuccDrib/90,AttDrib/90,DribSucc%,PlayersDribPast/90,Megs/90,Carries/90,TotDistCarry/90,PrgDistCarry/90,ProgCarry/90,CarryIntoThird/90,CarryIntoBox/90,Miscontrol/90,Dispossessed/90,PassTarget/90,PassesReceived/90,PassRec%,ProgPassReceived/90
Ola Aina,ng NGA,DF,Fulham,eng Premier League,23.0,1996.0,31,31,2664,29.6,0.03,0.07,0.1,0.05,0.03,0.08,0.47,0.14,28.6,0.14,0.5,25.2,0.03,0.07,0.03,44.9,57.8,77.7,862.8,348.7,17.8,19.7,90.1,20.8,24.2,86.1,5.74,12.0,48.0,0.47,3.31,0.51,0.3,3.31,48.2,9.56,1.11,0.0,4.09,1.28,1.42,34.0,9.12,14.7,9.86,36.1,2.84,8.45,0.14,0.03,0.81,1.45,1.52,0.88,0.74,0.07,0.0,0.0,0.03,0.03,0.14,0.14,0.0,0.0,0.0,0.0,0.0,1.59,0.84,0.91,0.47,0.2,0.57,1.39,41.5,0.81,8.82,2.2,24.9,4.83,3.24,0.74,1.59,0.27,1.32,1.76,4.09,0.0,68.6,3.95,26.6,33.9,12.0,0.71,0.05758017493,0.387755102,0.4941690962,0.1749271137,0.01034985423,59.7,0.71,1.15,61.8,0.74,0.07,39.2,204.2,112.7,3.85,1.18,0.17,0.68,0.51,43.5,41.6,95.4,0.84
Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19.0,2001.0,21,16,1404,15.6,0.06,0.06,0.13,0.06,0.04,0.1,1.03,0.38,37.5,0.06,0.17,19.7,0.0,0.04,0.03,64.8,71.0,91.3,891.9,357.1,42.9,43.8,97.8,17.1,20.5,83.7,1.9,2.86,66.7,1.9,0.48,1.9,1.43,5.71,41.7,8.59,0.45,0.0,5.0,0.77,1.92,33.2,10.4,6.73,36.5,4.29,1.28,7.69,0.13,0.06,0.32,0.64,2.12,3.81,2.86,0.0,0.95,0.0,0.0,0.0,0.95,0.48,0.0,0.48,0.0,0.0,0.0,1.43,0.95,0.48,0.95,0.0,0.95,1.9,50.0,0.95,15.7,5.24,33.3,9.05,4.76,1.9,1.9,0.48,1.43,0.48,0.0,0.0,63.2,2.76,16.9,29.8,20.6,1.86,0.04367088608,0.2674050633,0.4715189873,0.3259493671,0.02943037975,54.7,2.37,3.91,60.7,2.44,0.13,41.7,200.3,131.0,6.28,1.99,0.9,1.41,1.35,42.7,39.3,92.0,1.99
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19.0,2001.0,3,2,187,2.1,0.48,0.0,0.48,0.17,0.04,0.21,0.48,0.0,0.0,0.0,,14.8,0.0,0.08,-0.05,42.1,50.3,83.7,694.6,197.1,21.0,22.8,91.9,17.8,20.0,89.1,2.63,5.19,50.6,0.83,1.92,0.9,0.32,2.95,61.4,9.52,0.0,0.0,5.24,0.95,1.9,55.2,7.14,8.57,55.7,3.81,0.95,9.52,0.0,0.0,0.0,0.48,0.48,1.92,1.22,0.19,0.45,0.0,0.06,0.0,0.13,0.06,0.0,0.06,0.0,0.0,0.0,1.99,1.03,1.03,0.83,0.13,0.77,1.67,46.2,0.9,15.4,4.62,29.9,8.4,4.74,2.31,1.73,0.0,1.73,0.96,2.5,0.0,82.4,0.95,18.6,48.1,22.9,2.38,0.01152912621,0.2257281553,0.5837378641,0.2779126214,0.02888349515,72.9,3.81,4.76,80.0,4.29,0.0,63.3,255.7,174.8,9.05,2.86,0.48,1.9,1.9,65.2,61.0,93.4,3.33
Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26.0,1993.0,33,31,2780,30.9,0.0,0.06,0.06,0.01,0.04,0.05,0.42,0.13,30.8,0.15,0.5,9.0,0.0,0.1,0.02,22.8,30.7,74.4,502.5,213.3,6.41,7.51,85.3,11.8,14.4,81.8,4.43,8.25,53.7,0.16,2.17,0.13,0.0,2.07,28.7,1.94,0.36,0.03,3.92,0.94,0.19,18.6,3.56,8.54,1.59,23.6,2.3,1.59,0.1,0.23,0.91,0.94,0.39,0.45,0.36,0.0,0.06,0.03,0.0,0.0,0.1,0.06,0.0,0.0,0.03,0.0,0.0,1.88,1.36,1.42,0.39,0.06,0.58,1.17,50.0,0.58,11.0,4.27,38.8,7.15,3.3,0.55,2.01,1.13,0.87,1.33,4.79,0.1,41.4,7.54,22.9,17.8,2.62,1.17,0.1821256039,0.5531400966,0.4299516908,0.06328502415,0.02826086957,39.5,0.39,0.58,66.7,0.42,0.03,19.8,107.8,57.0,0.94,0.32,0.0,0.36,0.42,22.4,20.3,90.7,0.19
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25.0,1995.0,28,26,2350,26.1,0.0,0.08,0.08,0.0,0.07,0.07,0.73,0.15,21.1,0.11,0.5,13.4,0.0,0.09,0.01,74.7,80.3,92.9,1575.7,486.4,22.7,23.9,95.0,39.4,40.9,96.3,12.1,14.3,84.2,0.08,5.75,0.15,0.0,4.9,78.0,2.34,1.84,0.04,6.4,2.72,0.0,69.4,4.79,6.17,18.6,57.4,2.84,0.5,0.11,0.19,0.69,0.88,0.5,0.57,0.38,0.04,0.0,0.08,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.76,1.15,1.07,0.5,0.19,0.61,1.23,50.0,0.61,10.1,3.79,37.5,5.21,4.14,0.77,1.46,0.42,1.03,1.46,4.06,0.04,90.0,9.0,40.3,52.5,3.91,1.23,0.1,0.4477777778,0.5833333333,0.04344444444,0.01366666667,87.9,0.5,0.57,86.7,0.5,0.0,65.3,397.0,216.9,6.32,0.73,0.11,0.15,0.23,70.1,68.7,98.1,0.15
Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27.0,1993.0,13,10,865,9.6,0.0,0.1,0.1,0.03,0.04,0.07,0.21,0.1,50.0,0.5,1.0,23.8,0.0,0.19,0.06,24.3,36.4,66.8,453.0,192.5,10.2,12.0,85.2,10.5,15.4,68.2,3.02,7.71,39.2,0.21,1.04,0.52,0.31,1.35,24.9,11.5,0.94,0.0,5.1,0.83,1.67,14.8,10.2,11.4,1.88,20.2,2.6,10.5,0.1,0.21,1.46,1.35,1.04,0.52,0.42,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,1.35,2.29,0.63,0.0,1.56,2.6,60.0,1.04,11.5,3.23,28.2,7.19,3.75,0.52,3.13,0.42,2.71,1.35,4.17,0.21,48.1,4.79,21.0,21.7,7.71,0.31,0.09958419958,0.4365904366,0.4511434511,0.1602910603,0.006444906445,36.9,1.04,1.25,83.3,1.04,0.0,17.0,116.6,59.8,2.92,0.73,0.1,0.52,0.52,17.3,16.0,92.8,0.83
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25.0,1995.0,10,9,797,8.9,0.0,0.11,0.11,0.0,0.01,0.02,0.34,0.11,33.3,0.33,1.0,16.0,0.0,0.04,0.1,78.9,84.8,93.0,1446.4,397.1,32.5,33.6,96.7,39.2,41.8,93.8,6.74,8.2,82.2,0.11,6.74,0.22,0.0,4.04,82.0,2.81,1.46,0.0,4.94,1.12,0.0,74.0,3.6,7.19,65.5,13.0,2.36,1.24,0.34,0.0,0.34,0.79,0.79,0.34,0.22,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.67,0.79,0.67,0.22,0.45,0.56,80.0,0.11,8.2,2.81,34.2,3.93,3.37,0.9,0.67,0.22,0.45,0.67,2.92,0.0,92.2,4.72,24.9,65.5,9.33,0.56,0.05119305857,0.2700650759,0.7104121475,0.1011930586,0.006073752711,89.4,0.0,0.0,,0.0,0.0,68.2,338.2,207.5,7.87,3.03,0.0,0.34,0.22,75.4,73.7,97.8,0.34
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25.0,1995.0,16,14,1184,13.2,0.0,0.08,0.08,0.03,0.0,0.03,0.15,0.15,100.0,0.5,0.5,19.7,0.0,0.03,0.07,45.9,55.8,82.2,949.6,321.0,14.2,16.1,88.3,24.2,26.4,91.7,6.89,11.8,58.3,0.15,2.5,0.15,0.0,3.48,51.2,4.62,2.2,0.0,6.21,0.98,0.53,42.3,4.17,9.32,7.42,43.5,1.89,2.27,0.0,0.08,1.74,0.45,0.76,0.38,0.3,0.08,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.82,0.91,1.14,0.61,0.08,0.68,0.98,69.2,0.3,13.5,4.85,36.0,6.06,6.29,1.14,2.95,1.21,1.74,0.76,3.33,0.08,65.8,6.59,30.2,35.9,4.24,0.68,0.1001519757,0.4589665653,0.5455927052,0.06443768997,0.0103343465,61.7,0.53,0.83,63.6,0.61,0.15,43.9,221.7,121.4,3.03,0.61,0.15,0.61,0.23,45.6,44.2,97.0,0.53
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22.0,1998.0,22,17,1505,16.7,0.12,0.0,0.12,0.07,0.01,0.08,0.3,0.0,0.0,0.0,,21.0,0.0,0.04,-0.01,43.5,54.6,79.6,757.4,303.7,20.5,22.9,89.8,18.1,21.5,84.1,4.01,7.6,52.8,0.3,3.71,0.66,0.06,3.89,42.7,11.9,1.08,0.0,4.49,1.14,0.9,31.7,14.3,8.68,3.59,38.5,1.26,10.8,0.12,0.18,1.14,1.8,1.74,0.96,0.72,0.06,0.06,0.0,0.12,0.0,0.18,0.12,0.0,0.0,0.0,0.06,0.0,3.71,1.92,2.16,0.9,0.66,1.86,2.81,66.0,0.96,15.7,5.21,33.2,8.98,4.37,2.34,2.1,0.12,1.98,2.04,2.75,0.0,68.4,3.35,22.4,33.9,14.9,0.84,0.04897660819,0.3274853801,0.4956140351,0.2178362573,0.01228070175,56.8,1.32,2.04,64.7,1.38,0.06,39.3,165.6,102.6,4.01,1.26,0.24,0.78,1.26,40.1,37.1,92.5,1.44
Jordi Alba,es ESP,DF,Barcelona,es La Liga,31.0,1989.0,35,34,3025,33.6,0.15,0.09,0.24,0.22,0.07,0.29,0.8,0.33,40.7,0.11,0.27,19.6,0.03,0.09,0.02,74.6,87.3,85.5,1184.3,371.8,41.4,44.9,92.2,27.0,31.3,86.5,5.06,7.95,63.7,1.52,3.72,2.44,0.57,6.25,79.2,8.07,0.89,0.21,5.98,1.25,3.36,65.0,13.8,8.48,68.3,10.7,0.92,7.08,0.18,0.18,0.71,1.61,2.89,2.56,2.47,0.03,0.03,0.0,0.0,0.03,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.46,0.71,0.74,0.48,0.24,0.77,1.9,40.6,1.13,10.3,2.89,28.0,3.69,4.64,1.96,1.9,0.12,1.79,1.28,1.37,0.0,95.5,2.77,20.4,39.0,40.8,3.66,0.0290052356,0.2136125654,0.4083769634,0.4272251309,0.03832460733,87.6,0.51,1.1,45.9,0.71,0.21,64.4,231.3,121.5,5.03,1.34,0.48,0.65,0.42,77.4,72.0,93.0,5.74
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34.0,1985.0,35,35,3115,34.6,0.0,0.0,0.0,0.03,0.02,0.05,0.23,0.03,12.5,0.0,0.0,13.9,0.0,0.08,-0.02,51.9,58.0,89.4,1229.1,351.0,11.1,12.0,92.3,27.5,29.3,93.9,13.0,16.0,81.2,0.12,2.83,0.14,0.0,3.21,56.0,1.97,1.82,0.0,5.35,1.94,0.09,45.9,4.08,8.03,8.5,46.2,2.08,0.12,0.09,0.06,0.87,0.4,0.55,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.84,0.61,0.64,0.2,0.0,0.35,0.69,50.0,0.35,5.78,2.28,39.5,3.09,2.46,0.23,1.36,0.69,0.66,0.66,4.91,0.03,66.4,10.5,38.2,32.6,1.53,0.35,0.1581325301,0.5753012048,0.4909638554,0.02304216867,0.005271084337,64.5,0.14,0.26,55.6,0.14,0.0,44.0,320.9,202.6,3.7,0.46,0.0,0.17,0.09,47.6,47.1,99.0,0.14
Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31.0,1989.0,13,8,909,10.1,0.0,0.0,0.0,0.0,0.01,0.01,0.2,0.0,0.0,0.0,,12.0,0.0,0.05,-0.01,20.2,26.7,75.6,531.9,151.9,3.27,3.66,89.2,10.2,11.0,92.8,6.44,11.4,56.5,0.0,1.39,0.0,0.0,1.09,25.1,1.58,1.58,0.0,2.67,2.38,0.0,15.8,1.88,9.01,0.99,22.7,2.18,0.0,0.2,0.2,0.59,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.69,0.59,0.2,0.0,0.5,0.89,55.6,0.4,6.53,1.58,24.2,4.46,1.88,0.2,2.67,1.19,1.49,2.18,6.24,0.0,38.5,7.43,24.1,17.0,0.3,0.3,0.192987013,0.625974026,0.4415584416,0.007792207792,0.007792207792,36.9,0.0,0.0,,0.0,0.0,16.1,99.9,55.0,0.69,0.0,0.0,0.0,0.0,19.9,18.7,94.0,0.0
