x1, x2, x3, x4
0.05151,0.26484,0.69393,-0.09811
0.11700,0.23108,1.03692,0.07685
-0.09707,0.96677,0.17369,-0.01341
0.22231,1.06946,-0.08986,-0.04747
1.09169,0.07377,0.26894,-0.10256
0.09370,0.05961,1.27889,0.19323
0.03846,-0.01547,0.13994,1.10779
0.13302,-0.06389,1.02667,-0.01936
0.15203,-0.08978,0.65973,0.04628
-0.19305,1.18507,0.14613,-0.21444
0.04652,-0.05362,-0.17510,0.99620
-0.01880,-0.02238,-0.31942,0.85305
0.23456,0.13430,0.05860,1.21868
0.24896,0.17073,0.08689,0.78471
0.21072,1.27716,0.04303,0.35760
-0.03475,0.07882,0.90197,0.03742
-0.17943,0.14457,0.88289,-0.20707
0.05865,0.91122,0.08352,0.14775
1.25258,-0.29013,-0.14684,0.05796
-0.00276,-0.09152,-0.11667,0.72260
-0.01873,0.73760,-0.05118,-0.08753
-0.28357,-0.05719,0.00673,0.87419
1.05410,0.03130,0.19852,-0.05734
0.14262,1.01139,0.15222,-0.25943
0.02743,-0.09931,0.24395,0.85754
0.21592,-0.15781,0.13463,0.89006
1.18316,-0.35917,0.03788,0.09679
0.26634,-0.06328,0.84691,0.08596
0.17824,0.12482,0.04359,1.30868
0.89765,0.22315,-0.16421,-0.24821
-0.09043,1.03498,0.16484,0.29178
0.09661,0.05449,0.04099,1.09840
0.76026,-0.24050,-0.03452,-0.18039
0.12931,0.17812,0.23892,1.12841
-0.05191,0.18555,0.00136,1.08096
0.06730,-0.20719,-0.06340,1.29185
0.04341,1.03822,0.39474,-0.11805
-0.01918,0.75624,0.01437,-0.17764
0.09059,0.84349,-0.17834,0.00265
0.86163,-0.13551,0.06092,-0.05084
-0.20491,-0.09438,1.20090,-0.01258
0.02343,1.03509,-0.12816,-0.30322
0.21378,0.01697,0.85134,-0.11763
-0.28081,0.13824,1.16067,-0.14196
0.05128,0.03365,1.00163,0.15638
1.07107,-0.04491,-0.02855,-0.09461
1.15812,-0.09233,0.06562,-0.42141
0.14336,-0.18130,-0.04630,1.23160
0.33473,-0.09585,-0.13460,0.82073
0.06603,-0.02951,1.12561,0.05002
0.11249,0.85717,-0.04100,-0.15404
0.96749,0.03823,-0.02242,0.30162
0.13225,-0.15229,0.72113,0.12429
0.85667,0.13859,0.04727,0.20114
0.11171,-0.11460,-0.06605,0.98839
0.04487,-0.25512,1.27474,-0.18263
1.06566,-0.00408,-0.15529,0.07296
0.85732,0.12495,-0.15003,0.05152
1.02243,0.18749,-0.12788,-0.01938
0.02027,0.09515,-0.17268,1.00220
1.05194,-0.06744,-0.20337,0.17881
-0.16014,-0.07292,1.04694,0.21337
0.82544,-0.30575,-0.11126,-0.16428
0.89938,-0.17557,-0.18588,-0.25490
-0.02229,1.14474,0.06246,-0.11926
0.75165,0.06746,-0.38909,-0.11150
-0.12848,0.38415,0.19954,0.91919
-0.03393,0.93436,-0.13728,0.03948
-0.01524,-0.09014,1.07031,-0.08615
0.02841,0.22691,0.12616,0.92911
-0.14356,-0.12152,1.20176,-0.08301
0.04049,-0.14077,1.06836,-0.20471
0.14947,0.11118,0.85680,-0.21837
0.90435,0.22605,-0.15267,-0.21692
-0.18194,-0.24554,0.00442,1.13457
-0.18181,-0.02217,1.09750,-0.01952
1.26312,0.00161,-0.00404,0.07586
-0.20644,-0.01919,0.18714,0.79462
-0.06610,-0.20543,1.13078,-0.12582
-0.19407,-0.00498,-0.00070,0.89696
0.21491,-0.08999,0.10478,1.02405
0.02299,0.06573,1.19058,0.12803
0.91884,-0.22003,0.19858,0.05167
1.02261,0.00266,0.00103,0.04936
0.15927,0.28032,0.07440,0.95490
-0.00593,0.06114,-0.21249,0.93989
0.99065,0.12692,-0.10120,0.17955
0.91928,-0.03926,-0.15246,-0.09857
-0.07037,0.17751,1.12633,0.02524
1.14002,-0.06316,0.23856,-0.15957
0.27401,1.00885,0.04346,-0.04016
0.06878,-0.04821,0.78513,-0.12611
0.12200,1.03267,-0.01976,0.29064
0.64237,0.01792,0.10749,0.07096
-0.02857,1.13746,0.01971,-0.02740
-0.18131,0.01489,0.07707,0.99892
0.16206,-0.20119,0.16658,0.85916
0.15345,-0.09462,1.22735,-0.18427
-0.12052,-0.17118,-0.04742,1.26749
0.87626,0.12244,0.14831,0.04901
0.06298,0.04065,1.15281,0.17013
0.24582,1.08241,0.32349,0.05457
-0.02483,-0.13517,-0.23535,1.03285
-0.28084,0.13469,0.12948,0.94111
-0.33246,-0.10757,-0.04707,1.07111
1.08915,-0.02495,0.19089,0.31140
-0.06810,0.84382,-0.01541,-0.01729
0.21431,-0.30561,1.10830,-0.01074
0.93985,-0.03397,-0.07465,0.17741
1.04335,0.01433,-0.04392,0.12849
-0.07049,0.86457,-0.02516,-0.04750
0.07669,1.12796,-0.03899,-0.11875
0.11161,-0.15214,0.96862,0.09007
-0.00676,-0.01575,-0.03387,1.10699
0.13609,-0.11207,0.81496,-0.05574
-0.14520,-0.13631,0.02269,1.05181
0.31977,0.89180,0.05903,0.16438
0.13995,0.16547,-0.04731,0.97640
-0.28925,0.94124,-0.18015,-0.10164
0.22386,0.21247,-0.12396,0.87488
0.03415,0.24328,1.27601,-0.02478
-0.17414,-0.01723,0.90441,0.19154
-0.02311,0.10996,0.84960,0.09460
0.09882,1.06562,-0.21908,0.15270
-0.11951,0.14979,0.87633,0.23808
0.07708,-0.08181,0.97805,0.16345
-0.02528,-0.18464,0.86889,-0.02195
0.25351,-0.00568,1.13126,0.09120
-0.05303,-0.25180,-0.05408,0.71278
1.26014,-0.03102,-0.10998,0.11612
0.10373,-0.03100,1.18275,-0.10300
-0.05430,0.70968,-0.05422,0.24430
1.06329,0.05227,0.05747,0.11048
0.70987,0.13585,-0.14117,0.10609
0.01484,0.83663,0.12659,0.05602
0.09659,0.87558,0.01079,0.04304
0.16234,0.03824,0.06809,1.16609
0.11175,0.67729,0.05942,-0.03464
0.90378,-0.03337,-0.18456,0.03088
-0.03707,-0.13225,1.01731,-0.27557
-0.14310,-0.04585,0.99581,-0.25545
0.08390,0.26246,0.23879,1.22237
-0.04365,-0.00260,0.88072,0.11274
0.11627,-0.04690,0.09028,1.20346
0.01000,-0.15350,-0.16499,1.01300
-0.03256,-0.19674,1.11511,-0.06439
0.99642,-0.05456,-0.07244,0.11094
1.08038,0.10264,0.42319,0.13748
0.82213,0.06833,-0.12565,-0.02204
1.09120,0.05374,0.00852,-0.03549
1.01825,0.09159,-0.23879,0.25409
-0.05705,0.24746,0.07092,0.85653
0.00629,-0.06509,1.05753,0.24602
-0.01635,1.01572,0.15183,-0.11533
-0.13957,1.07965,0.09254,0.05693
-0.01187,0.18581,0.10314,0.85247
0.11917,1.07510,0.09870,0.13878
1.13159,0.00858,0.16970,0.08855
0.05444,-0.10025,-0.09291,0.93602
-0.06711,0.01509,0.93239,0.15039
-0.00993,1.04412,0.20168,0.02913
0.10611,0.96415,-0.05221,-0.01063
0.12867,0.90658,-0.12317,0.22213
0.13268,0.05708,1.00168,-0.14451
1.00013,-0.02192,-0.03930,0.01633
1.04838,-0.06789,0.05613,0.14694
0.03543,-0.10283,-0.09163,0.94656
0.78880,-0.13269,-0.23146,-0.05021
0.06305,0.06669,0.92338,-0.00215
0.04749,0.11137,0.06613,0.98488
0.17790,1.05375,0.21154,0.01922
0.95217,-0.24045,-0.23028,-0.08556
0.06939,1.06069,0.32523,-0.09018
-0.02404,1.05905,-0.37339,0.09051
-0.05789,0.94414,-0.00421,-0.01235
-0.33163,1.23763,-0.16062,0.10588
0.89874,0.06403,-0.31704,-0.12435
-0.16655,0.01885,0.03119,1.26724
-0.02687,0.17615,0.14375,0.88769
-0.21779,-0.00728,0.86344,-0.08625
0.90953,-0.01453,-0.03847,-0.03966
0.13645,0.14430,0.63006,-0.06255
-0.08012,-0.04585,1.06243,-0.13790
1.26663,-0.09401,-0.18289,-0.04360
0.03760,0.03384,0.03958,1.02752
0.05660,-0.16734,0.89031,0.11244
0.83189,0.14867,0.24462,-0.28501
0.12309,0.06283,0.98435,0.03630
0.88463,0.13038,0.05571,-0.09425
0.13710,1.01798,0.29330,-0.04455
-0.15706,-0.13083,0.33764,0.94460
-0.06942,-0.10495,0.08074,0.93750
0.08177,0.03937,1.01776,-0.04455
0.08460,0.07862,0.92393,0.12551
0.05999,0.21725,0.98320,-0.07938
-0.12941,0.70442,0.29162,0.04261
0.02360,1.13838,-0.11852,0.00484
0.21842,0.90205,0.12877,0.24531
0.09558,-0.21868,1.22201,0.15987
0.12910,1.12482,-0.17328,0.04903
0.18976,0.11291,0.04455,1.00150
-0.30992,-0.03150,0.16921,0.73659
-0.27179,-0.00420,-0.17696,1.02696
1.00327,0.16781,0.01301,-0.05921
-0.15318,0.75307,0.09130,0.11081
0.90197,0.07917,0.13991,-0.01671
-0.05304,0.78894,-0.16603,0.20793
0.07543,0.01200,0.81027,0.05118
-0.04791,0.81547,-0.08170,0.00980
-0.10679,-0.12833,1.11005,-0.04120
0.07660,0.02610,0.01952,0.75419
-0.01413,-0.00062,-0.10488,1.00864
1.22785,0.11248,-0.34036,-0.11409
-0.17566,-0.04134,0.08210,0.98104
1.56044,0.12783,0.07437,0.05711
-0.07467,-0.10458,1.04076,-0.06615
0.11369,-0.00721,-0.11670,0.91880
0.94594,-0.27713,0.24659,-0.30596
-0.25742,0.11453,0.32153,0.94094
0.99756,0.15663,-0.16273,-0.33089
-0.25761,0.98368,0.07211,0.09923
1.06475,0.06694,0.01995,-0.00530
0.13953,0.19187,-0.24116,0.83531
1.10185,0.08914,-0.16784,-0.08200
1.01601,-0.19509,-0.12280,0.24000
1.03237,-0.16914,0.06587,0.14977
-0.05447,-0.01534,0.98254,-0.01516
-0.08314,0.94851,0.01374,0.00711
-0.00744,1.01539,-0.14249,0.04947
0.01690,1.13749,-0.18425,-0.11728
-0.07743,-0.14177,0.08603,1.00090
-0.05762,-0.09033,0.00032,0.71265
-0.23482,-0.20029,0.94459,-0.08771
0.01734,-0.00413,-0.00371,1.13227
0.05083,1.28155,0.33860,-0.23620
-0.01504,0.16484,1.08515,-0.16619
0.27575,0.04481,0.08571,1.11123
-0.06428,0.05034,-0.07822,0.86840
0.00385,-0.17549,0.41633,1.04691
1.19361,0.01622,0.00815,0.10664
0.38878,0.02263,0.22589,1.43152
-0.05153,-0.11056,1.03625,-0.00878
-0.04076,0.15116,0.78282,0.19218
-0.08257,0.12154,0.10679,1.25566
-0.06392,1.18094,-0.08346,0.03966
0.06053,-0.02450,-0.01122,0.98723
0.94877,-0.28193,-0.14909,0.15328
0.30787,1.27132,0.06426,-0.03279
0.01614,-0.09221,1.09248,0.03340
1.08675,-0.01556,-0.02416,0.13418
0.04837,0.63949,-0.17978,-0.08568
-0.27449,0.09749,0.31463,0.95618
0.01079,-0.23347,-0.05232,0.82710
1.09066,0.14127,-0.09302,0.12223
1.05033,-0.22414,0.20270,-0.16448
1.06341,0.00587,0.02464,0.11186
0.01587,-0.05480,1.20565,0.10235
0.00097,-0.01615,0.99236,-0.09608
1.23190,0.10351,-0.30688,0.05017
-0.17941,0.00129,1.00113,0.15085
-0.00297,-0.11669,0.22897,0.90661
0.09100,0.99500,-0.15036,-0.12256
0.02306,0.12932,1.02711,0.05925
0.11669,-0.03205,-0.15131,1.15208
-0.10550,-0.00533,0.23160,1.12111
1.00787,0.11110,0.09099,0.18286
-0.12139,0.01711,0.17065,0.77246
0.03218,0.87649,-0.00330,0.18626
0.06617,0.14127,0.15533,1.10689
0.88339,-0.06220,-0.17185,0.04876
0.32050,-0.08680,1.07155,0.05090
0.07983,-0.23938,0.88596,-0.31215
0.21382,-0.25061,0.12592,1.18867
0.06037,0.95985,0.20156,0.03564
-0.17386,0.17234,0.93791,-0.11581
-0.22963,0.01804,-0.20668,0.91861
1.31573,-0.16357,0.22268,-0.16338
0.87722,-0.27756,0.05957,-0.14193
0.81394,0.04839,0.22119,0.14240
0.01308,0.96663,0.07947,-0.20287
-0.19020,-0.04921,0.14516,1.10184
1.23552,-0.01036,0.13553,0.02593
-0.02654,0.09506,0.94755,-0.14899
1.01736,-0.00350,0.01412,0.26751
1.18580,0.10821,-0.04256,0.33149
0.00793,0.31946,0.90186,0.16894
-0.10635,0.08564,0.19463,0.92234
1.03792,-0.03300,0.04946,-0.04883
0.19383,1.04101,0.04588,-0.13143
0.10939,-0.10778,1.09247,-0.17272
0.03550,-0.00243,0.25240,0.94670
0.19781,0.01498,0.94488,-0.07034
0.26495,1.12244,0.07443,0.02473
0.86499,-0.07206,0.03454,0.02929
0.96195,0.06709,0.01353,0.17058
-0.09511,-0.01582,-0.10613,1.08629
0.03611,-0.08604,1.03910,-0.17720
-0.02420,-0.02439,1.00538,-0.15989
-0.09896,-0.24689,0.95592,0.05214
1.12321,-0.07407,-0.21132,-0.18245
0.03646,-0.21636,0.06520,1.11091
-0.03776,0.60610,-0.10783,-0.12224
-0.06218,-0.01522,-0.07882,1.00745
-0.12462,0.97158,0.10210,0.02421
-0.40389,0.91502,0.27576,0.01154
-0.12331,1.05802,0.03272,0.00265
0.11461,1.15477,-0.04811,0.04459
-0.09208,0.84087,-0.10243,-0.11231
-0.32223,-0.24897,1.13032,0.15636
1.15268,-0.17168,0.11728,-0.02610
0.94714,0.04118,-0.20791,-0.26628
-0.00756,0.89027,0.07742,-0.19212
